movie_name,movie_type,movie_content
我們的限時約定,"愛情
劇情","★ 2021年最暖心！閨蜜手牽手必看動人之作
★ 一聲閨蜜就是一生的閨蜜！就算被全世界虧待 還有好姐妹挺你到底
★ 笑中帶淚！溫馨感人媲美《生命中的美好缺憾》《我就要你好好的》
★ 泰國甜心 皮查雅薇塔娜莫迪里 《鬼影》男星 阿南達艾華靈漢 同台浪漫演出
★ 人生雖有許多過不去的關卡 只要樂觀面對 你也能活個精彩！
 
帕朵（皮查雅薇塔娜莫迪里 飾）在25歲生日那天倒楣透頂，不僅因為吐槽老闆而丟了工作、發現天菜男友劈腿、更在意外昏倒後發現自己罹患了淋巴癌。住進醫院後，帕朵對主治醫生卡文(阿南達艾華靈漢 飾)一見鍾情，醫生成為她幻想世界中的男主角。在家人、好閨蜜的陪伴下，枯燥痛苦的抗癌歷程變得無比歡樂，更讓帕朵想要努力活下去。帕朵能戰勝病魔嗎？一場充滿歡笑與淚水的動人故事，即將展開…"
毀滅倒數,"科幻
懸疑/驚悚","世界末日版《黑鏡》融合《衝擊效應》
不久的將來，在科技進步的時代背景之下，人們會如何去探索愛情、友誼、家庭與宗教呢？當人們意識到，即使擁有可以幫助我們簡化生活的技術，但在控制周圍的人、周圍的環境，以及防止我們犯下人類曾經犯下相同錯誤，卻依然無能為力時，人們又該要如何自處呢？一部宛如世界末日版《黑鏡》（Black Mirror）融合《衝擊效應》（Crash）的科幻驚悚新片《毀滅倒數》，就在此時應運而生。本片脫胎自一則六到十頁篇幅的短篇故事，透過六段不盡相同的人類處境，讓每個角色對這一現實的認知，展現出各種不同樣貌的偏執與諷刺，而觀眾在影片結束時，也勢必將有不同的人性反思：「如果是我，我會怎麼做呢？」
 
本片是出生於波蘭的視覺藝術家阿嘉塔亞歷山大（Agata Alexander），她的首部劇情電影長片。長期與瑪麗蓮曼森（Marilyn Manson）等音樂人合作影像製作的她，透露本片源自我們這一生都存在的危機：「在一個不斷倒退和更新的未來世界中，我們並沒有因為身為一個物種，或是一個社會的基本層面而進化。儘管科技可能達到嶄新高度，但它並沒有讓我們變得更好，我們的情緒狀態仍然相同，我們也仍舊是在地球上漫遊的人類。我們尋找目標，無論是友誼、愛情、宗教、名望、家庭或是金錢，種種生命的意義都是你的選擇。諷刺的是，你越想要抓住某樣東西，就越會失去對它的控制。」她也試圖透過本片提出一大哉問：「這一切，真的都那樣重要嗎？未來可能並不如我們所想得那樣光鮮亮麗。」
 
本片演出陣容也相當堅強，可說都是主演級的影星，包括《獵殺第四行者》（I Am Number Four）艾力克斯派帝佛（Alex Pettyfer）、《辣妹愛宅男》（She's Out of My League）艾莉絲伊芙（Alice Eve）、《疾厄》（Malignant）安娜貝爾瓦莉絲（Annabelle Wallis）、《肉獄》（Raw）加朗斯馬里利埃（Garance Marillier）、《迷霧驚魂》（The Mist）湯瑪斯傑恩（Thomas Jane）、《沒有煙硝的愛情》（Cold War）托馬斯科特（Tomasz Kot）等人。此外，知名動作影星阿諾史瓦辛格（Arnold Schwarzenegger）的兒子派翠克史瓦辛格（Patrick Schwarzenegger）也有參與演出，也為這部別出心裁的科幻強片再添星光。"
喋血江陵,"動作
犯罪","★ 《鬼神拍檔》製作團隊最新犯罪動作鉅獻
★ 韓國兩大動作演員代表《浴血劍客》張赫 ×《浴血圍城88天》劉五性 激戰大銀幕！
★ 比洶湧的海浪更粗暴的兩名男子，終於迎來命中注定的決鬥…
 
韓國江陵市最大的犯罪集團老大計劃建造亞洲最大的度假村。他最受信任的手下吉石（劉五性 飾）過著舒適的生活，每天執行老大的任務，對他忠心耿耿。敏錫（張赫 飾）是來自首爾的年輕黑幫老大，有頭腦和野心，決定跳槽從事度假事業，建立自己的勢力。敏錫以各種暴力和詐欺手段獲得了度假村，導致吉石的幫派處於危險中，於是吉石決定展開復仇……"
電影版 輝夜姬想讓人告白～天才們的戀愛頭腦戰～ FINAL,"愛情
劇情
喜劇","★ 平野紫耀 x 橋本環奈 天才學生會搭檔強勢回歸！
★ 漫畫家赤坂明爆紅同名漫畫再推真人電影版續作
★ 上映首周末勇奪日本票房冠軍
★ 傑尼斯人氣團體「King & Prince」獻唱主題曲
★ 過高的「頭腦偏差值」與過低的「戀愛偏差值」，決勝時刻終於來臨…！
 
私立秀知院學園聚集了未來被寄予厚望的菁英。隨著學園史上最激烈的戰爭「第68屆學生會會長選舉」落幕，學生會長白銀御行（平野紫耀 飾）、副會長四宮輝夜（橋本環奈 飾）續任，加入新血的第68期學生會開始運轉。被彼此吸引卻又受「如果先告白的話就輸了」的咒語束縛，白銀與輝夜在神聖的學生會室，想盡辦法讓對方告白的戀愛頭腦戰再度開戰……。"
濁水漂流,劇情,"無家可歸的輝哥（吳鎮宇 飾演）剛出獄，就回到烏煙瘴氣的深水埗街角，與越南難民老爺（謝君豪 飾演）、洗碗工陳妹（李麗珍 飾演）、毒癮極深的大勝（朱栢康 飾演）、半身不遂的阿蘭（寶珮如 飾演）等街友們再次重遇。
 
才剛回歸露宿者的生活，當晚卻遇上食環署人員突擊洗地及打掃環境，在未告知的情況下，強勢將露宿者的家當清掃丟棄，憤怒的輝哥與警察當街起衝突，卻也拿不回自己的所有物，這一群家當盡失的街友在剛畢業的社工何姑娘（蔡思韵 飾演）的幫助下，眾人決定與政府打官司，不僅要申請索償，更要求政府道歉。
 
失去木屋居所的輝哥與街友們，在另覓居所時，認識了一個口齒不清的年輕街友木仔（柯煒林 飾演），輝哥把對亡兒的情感投射在他身上，邀請木仔加入他們的行列，一群人合力搭建小木屋群相依為命。但天橋底下畢竟是個龍蛇混雜的地方，與政府的官司才看見一絲曙光，無情的命運卻又再次向他們襲來，街友們看似平靜又透明的生活再度被打破，眾人被迫四散。在公義和賠償來臨之前，又有多少街友能捱過寒冬？"
王者理查,劇情,"華納兄弟影業的新片《王者理查》改編自啟發全世界的真實故事，敘述理查威廉斯的心路歷程。這位意志堅定的父親一手培養出兩位有史以來最有天賦的運動員，她們最後永久改變了網壇歷史。本片由曾兩度榮獲奧斯卡金像獎提名的威爾史密斯（《威爾史密斯之叱吒風雲》、《當幸福來敲門》、《絕地戰警FOR LIFE》）扮演理查，並由雷納爾多馬庫斯格林執導（《終極正義》）。
 
理查對未來抱著明確的目標，打破傳統並訂定計畫，要將大小威廉斯姐妹（維納斯和瑟琳娜威廉斯）帶離加州康普頓黑人貧民區的街頭，站上世界舞台，成為叱吒網壇的傳奇人物。這部激勵人心的電影將展現出家庭的力量，再加上毅力和堅定不移的信念，就可以實現不可能，甚至影響全世界。"
迷離夜蘇活,"劇情
懸疑/驚悚",故事是關於一個對於服裝設計充滿熱情的年輕女子，竟然能夠神祕地回到1960年代，她在那裡遇到她的偶像，一名光彩奪目，夢想成功的歌手。但是1960年代的倫敦並非表面上看來的那樣，時間也似乎開始分崩離析，造成可怕的後果…
梅艷芳,"歷史/傳記
劇情",「留下只有思念，一串串永遠纏。」梅艷芳經典歌曲【似水流年】中的歌詞刻劃了我們對梅艷芳的想念。2003年，梅艷芳離開了我們，一代巨星殞落，標誌著香港一個光輝時代的終結。4歲在荔園登台的小歌手，後來唱到成為風靡亞洲的百變舞台女王，梅艷芳短短40載人生，當中經歷多少艱辛，付出多少犧牲？星光背後，她的感情生活，她對工作的熱愛，對朋友以至對香港的情義，也成就了她那「香港的女兒」無可替代的地位。為實現梅艷芳留下一部傳世電影的遺願，安樂影片聯同香港金像獎團隊籌備7年製作出《梅艷芳》，將會把她的傳奇一生，重現歌影迷眼前！
詭扯,"動作
喜劇","★ 2021 韓國富川國際奇幻影展 評審團大獎
★ 2021 台北電影獎 最佳導演、最佳男配角、最佳女配角、最佳剪輯、最佳聲音設計等5項提名
★ 《16個夏天》金鐘獎戲劇節目最佳導演許富翔首部劇情長片
★ 陳柏霖、劉冠廷、黃尚禾三大實力派男星攜手深入險境
★ 《陽光普照》金馬獎影帝陳以文挑戰大銀幕使壞
★ 《比悲傷更悲傷的故事》人氣女星陳意涵特別演出女鬼
 
電影劇情描述黑警鋒哥（陳柏霖 飾）要在48小時內找回被兄弟小強（侯彥西 飾）黑吃黑的鑽石贓物，他循著手機訊號來到某村莊，卻怎麼也找不到對方。在詭異氣氛下，與徐伯（陳以文 飾）為首的村民，展開一連串心戰與鬥智，局面陷入混亂時，竟還有女鬼（陳意涵 飾）來搗亂，情節詭譎之餘又有許多突如其來的笑點貫穿全片。"
刀劍神域 –Progressive- 無星夜的詠嘆調,"動畫
冒險","由川原礫所撰寫的『刀劍神域Sword Art Online』系列小說，榮獲第15回電擊小說大賞最高賞<大賞>。是以主角桐人在新世代VRMMORPG『Sword Art Online』為舞台活躍表現的故事。
 
自2009年4月發售的原作小說第一本以來一直保持著高人氣，目前在全世界累積發行數已突破2600萬本。TV動畫自2012年播放第1季，迄今已播出4個系列，也有遊戲化、漫畫化，各種跨媒體發展的活動。
 
2017年發表了「劇場版刀劍神域 序列爭戰」，日本達到了25億日圓票房的好成績，台灣票房也近六千萬。主要篇章為「無星夜的詠嘆調」、「幻矓劍之迴旋曲」，時間點在死亡遊戲開始後的一個月，敘述桐人被稱呼為「黑色劍士」的契機，以及一行人攻略第二層魔王時，某名少年鐵匠的故事。
 
『刀劍神域Progressive』是由原作者親自操刀的重啟系列，以更詳盡更細膩的手法描寫刀劍神域系列的開端，從艾恩葛朗特第一層展開的冒險軌跡。原作者－川原礫以亞絲娜的視角描寫嶄新的《艾恩葛朗特》，將以完全新作的形式劇場版動畫化。"
安雅與魔女,"動畫
喜劇","★吉卜力工作室在台睽違6年首部3D動畫新作！
★宮﨑駿與宮崎吾朗繼《地海戰記》後再度父子聯手
★改編自《霍爾的移動城堡》原著作者黛安娜•韋恩瓊斯暢銷小說  
★召集經典動畫電影《天空之城》、《借物少女艾莉緹》御用成員參與
★入選73屆坎城國際影展動畫單元
★新生代小天后安那ANNA聯手三大主持天王天后唐綺陽、庹宗康、黃子佼聯手歡樂獻聲
 
無論如何，我一定要學會魔法！
 
鬼靈精怪的安雅從小就在孤兒院長大，有一天，兩個奇怪的男女突然決定要認養安雅，沒想到，他們竟然是有法力的巫師！？以學習魔法作為交換，安雅成為女巫的助手，與會說話的小黑貓及巫師同住在一個屋簷下。日子一天天過去，女巫除了指使安雅打雜外，從來沒有教她任何魔法，被欺騙的安雅決定與小黑貓聯手，對女巫進行反擊大作戰！"
蒸氣男孩,動畫,"★大友克洋在《阿基拉》之後第2部主要的作品，
★獲得日本文化廳媒體藝術祭推薦作品，被選為該年威尼斯電影節的閉幕電影。
★蒸汽男孩好像騎在炸彈上飛行，埸面劇情、音樂都讓人停不下脚步，節奏非常緊凑
 
在第一屆倫敦世界博覽會舉辦前夕，住在工業城曼徹斯特的天才科學少年“雷”無意中得到了一種叫「蒸氣球」的神秘發明，歐哈拉集團妄圖奪走「蒸氣球」，在此過程中“雷”與富家女“史嘉蕾”在世博會的會場，展開了一場圍繞科技力量的冒險 …"
鹿魔,"恐怖
懸疑/驚悚","★《羊男的迷宮》、《地獄怪客》「恐怖怪物」大師 吉勒摩戴托羅全力監製
★金獎製造機 探照燈影業繼《弒婚遊戲》再度打造年度恐怖強檔
★INSIDER、VULTURE等各大主流媒體評選2020年度最受期待恐怖鉅作
★恐怖都市傳說竟成真！ 古怪離奇的殺人慘案 直搗觀眾內心的深層恐懼
 
從小到大聽到的恐怖傳說，究竟是否可考，世人也都半信半疑，長大後更會將這些都市傳說，當成兒時的警世物語，但在奧勒岡的一座小鎮，卻悄悄地發生一連串難以置信的恐怖事件…
 
一名小鎮的老師（凱莉羅素 飾）跟她的鎮上警長弟弟（傑西普萊蒙 飾）發現了一件驚世駭俗的案件，他們察覺一位年輕的小學生行為舉止十分異常，孤僻的個性以及詭異的談話，驅使這對姊弟介入小學生的家庭調查背後隱藏的秘密，沒想到竟掀起一陣腥風血雨的風暴，而古老的傳說不再是天方夜譚，惡魔的甦醒也將帶來毀滅式的反撲…
 
本片改編自尼克安托斯卡（Nick Antosca）創作短篇故事《安靜的男孩》（The Quiet Boy），由金獎導演「恐怖怪物」大師—吉勒摩戴托羅全力監製，金獎製造機「探照燈影業」年度恐怖力作。"
控制,"音樂/歌舞
紀錄片","★ 名揚 2007年坎城影展，經典音樂電影《控制》上映15週年數位版，台灣搶先放送
★ 70年代英國傳奇後龐克樂團「歡樂分隊」(Joy Division) 的崛起與殞落
★ 歡樂分隊傳奇主唱伊恩柯蒂斯 (Ian Curtis) 23年悲劇人生的黑白青春輓歌
 
1980年5月18日，日正當中的英倫後龐克樂團「歡樂分隊」 (Joy Division) 主唱伊恩柯蒂斯 (Ian Curtis) 觀賞完荷索《史楚錫流浪記》之後，在伊吉帕普 (Iggy Pop) 首張個人專輯《The Idiot》陰森樂音中，於自宅廚房上吊自縊，結束短短 23 年的生命。
 
Ian Curtis 之死，讓 Joy Division 頓時成為傳奇，讓 Joy Division 僅有發行的兩張專輯成為傳奇，也讓 Ian Curtis 本人成了永恆傳奇。然而，Ian Curtis 究竟為何尋死，乃是長年以來爭論不休的謎團。直至 1995 年，Ian Curtis 遺孀黛博拉柯提斯 (Deborah Curtis) 出版回憶錄《遙遠的觸摸》(Touching From A Distance)，娓娓道盡 Ian Curtis 決意求死前所遭逢各種苦痛掙扎與身心狀況，這才讓樂迷洞悉 Ian Curtis 每一字每一句用生命譜寫，用靈魂吶喊的陰晦歌詞背後，有這麼多寡為人知的黑暗故事。
 
2007年，改編自《遙遠的觸摸》一書的《控制》(Control) 在坎城影展首映，博得全場觀眾起立鼓掌致意，更一度在 IMDB 上創下 9.0 的高分。爾後，一舉席捲全球各大影展，獲獎無數，霸佔當年度各大影評人最佳電影十強榜單，牢牢奠定經典音樂電影地位。
 
作為 Ian Curtis 的傳記電影，《控制》全片從Ian Curtis 如何初識 Deborah，如何加入樂團，擔任主唱，在正職工作之餘，蠟燭兩頭燒地兼顧音樂夢開始。再談到他如何奠定 Joy Division 開創性的後龐曲風與獨樹一幟的演出臺風。最後，則講述著 Ian Curtis 如何背負成名之後的壓力，如何忍受婚後生活的不快樂，如何抗拒為人父後的不適應，如何糾結婚外情後的進退兩難，以及更致命的－如何面對癲癇症的日益嚴重。上述種種身心壓力，都成為導致他決意遺世而去的導火線。
 
《控制》全片關於 Ian Curtis 的生平寫照，在 Ian Curtis 遺孀 Deborah Curtis 親自擔任監製之下，是如此地赤裸，又如此地誠實，毫不掩飾，直視其脆弱與黑暗面。原本就與 Joy Division 團員私交甚篤，同時又是流行尖端 (Depeche Mode)、U2 等樂團御用視覺導演的安東寇班(Anton Corbijn) 負責執導本片，深諳音樂電影敘事節奏，更透過仿彿是向 Joy Division 那首充斥死亡意象的〈Atmosphere〉MV 致敬的 35 釐米底片黑白攝影手法，讓 Ian Curtis 悲劇輓歌般的一生，更顯蒼白無力，卻也饒富詩意，恰恰符合 Ian Curtis 個人以及 Joy Division 的晦暗氣質。
 
在片中飾演 Ian Curtis 的山姆萊利 (Sam Riley)，將 Ian Curtis 的神韻、表情、肢體與內心世界的千頭萬緒詮釋地無不維妙維肖，還原度極高，說服力極強，廣獲全球影展影評一致好評。其實，《控制》只是 Sam Riley 的大螢幕處女作。如此驚人演技，再加上導演的執導功力，影像美學，再再讓《控制》不僅成為全球 Ian Curtis、Joy Division 信徒，甚或是廣大英搖、後龐克樂迷心中的永恆經典，也是影史上評價最高的超卓音樂電影。至今地位依舊，未來也同樣難以動搖。
 
2021年，《控制》即將上映滿 15周年之際，出品方特別將 35 釐米底片拍攝的原始素材作數位化處理，作為 2022 年特別放映之用。台灣在造次映畫的爭取下，成為全球最早放映《控制》數位版的國家，並於11月12 日起，在全台各戲院大螢幕放映，讓全台樂迷有機會重逢經典，齊聚朝聖。"
達賴喇嘛：大腦故事,紀錄片,"《達賴喇嘛：大腦故事》是關於達賴喇嘛探討醫學和科學的電影。片中達賴喇嘛同猶太裔神經科學家理查‧戴維森（Richard J. Davidson）討論「復原力、慈悲心，以及科學治療今日」等主題。理查是威斯康辛大學神經科學實驗室主任，專研大腦皮層和皮層下功能，他在大腦可塑性方面的研究成果，獲得了世界性聲譽。片中，同時也可以看到尊者和其他來賓「心智與生命」研究機構負責人蘇珊鮑爾吳（Susan Bauer-Wu）等人共同探討大腦的秘密。
 
達賴喇嘛未曾展現過的一面。透過攝影機進入他私人的生活領域，觀眾近距離感受這位孜孜矻矻背誦經文、處理日常庶務的平凡僧人，看到他是如何運用佛學、科學等知識，開導眾人。
 
《達賴喇嘛：大腦故事》展現達賴喇嘛艱苦困頓的人生、西藏議題的複雜性、也檢視達賴喇嘛開始後的「藏傳佛教」，更看見追隨他的子民們，是如何胼手胝足建立這個風雨飄搖的流亡政府
 
值得一提的是，導演藉由達賴的話語，最需要的人心省思，格外深具意義，過程中摻雜他與許多科學家的對話和辯證和思考轉變，闡揚佛家對生死輪迴、慈悲為懷的生命哲理，這是一部將超越時空、文化、種族的世界表露無遺的電影，值得觀眾進戲院，細細探究佛理和科學、醫學之間的關聯和奧妙。
 
在佛教科學與現代科學對話中，尊者闡釋了心靈與生命對話活動的兩個主要目的。第一個目的是，透過藏傳佛教與現代科學界人士之間的交流學習，可以增加雙方的學識。比如現代科學界經過研究，對原子和夸克之類的事物有著非常精確的衡量與解釋。但是當談及心靈與情緒時，現代科學就顯示出其不足之處，在這方面藏傳佛教便可提供更深入的剖析，同時也探討了內心快樂的關注與研究程度以及該如何面對的解決辦法。"
文林銀行,紀錄片,"★ 第七屆 CNEX華人紀錄片提案大會 最佳提案獎
★ 中國國際紀錄片節 最佳提案推薦獎
★ 英國雪菲爾國際紀錄片影展 推薦獎
 
當老師變成老闆，學生表現好就給獎金，
每個月還發薪水給學生時，學校教育會變成怎麼樣呢？
 
小學生的理財教育應該長怎樣呢？賴皓韋是文林國小校長從其他學校借調過來的學務主任，他不喜歡教條式的教育，而是希望學生可以用實際的體驗來學習，並且自己解決面臨到的問題。校長因為看見學生們不在乎自己擁有的物品，金錢的觀念薄弱，因此希望賴主任可以想出一套教學方式來建立學生正確的金錢觀。
 
於是，賴主任決定要建立「文林銀行」，發展學校內部的金融體系，並開始印製鈔票，使用「文林幣」來獎賞學生，也建立「文林柑仔店」讓學生可以選擇賺來的文林幣要如何使用。並刺激學生消費的慾望，鼓勵學生用各式各樣的方法賺錢，模擬真實的金融制度。家長會開始注意這種史無前例的理財教育，引發了一些質疑。「文林銀行」對學生是好還是壞？到底能不能持續進行下去？賴主任最後發現，「文林銀行」對大人的教育意義可能更甚於小孩⋯⋯。
 
【拍攝大綱｜緣起與反思】
 
「文林幣」正式在種子教師的班級發行，楊老師帶領的六年級學生們都非常開心，因為這是他們第一次因為當班級幹部而領到 「薪水」，格外的興奮。柯老師的校園環保隊也因為有發「薪水」，同學們更努力的參與服務。但問題也由此產生，因為有些在班上的服務是沒有文林幣的獎勵，所以某些同學就轉為去做有文林幣的服務工作，造成某些老師的困擾，有人開始覺得，學生這樣的選擇是不是太現實了點。
 
三年級的王老師在文林銀行實行一段時間之後，發現文林幣可以引誘學生去讀書籍打掃，因此很開心的「玩」起了學生，讓學生對於獎勵無所適從，也讓賴主任有點擔心，原本是學生應該主動追求的榮譽，現在卻被金錢量化了。
 
家長會在文林銀行實行段時間之後，開始質疑讓金錢進入教育的作法會出現問題，並且認為學校聘請學生擔任行員是個違法的行為，在家長會上對賴主任破口大罵，要求馬上停止這項實驗。原本預計在2016年的9月全校正式實施的文林銀行制度，有沒有辦法順利進行？文林銀行的制度，將對老師及學生們產生什麼衝擊？學生面對文林幣的追求有變質的傾向，賴主任有辦法導正回來嗎？
 
文林銀行這樣新的想法的進入到一所歷史悠久的老學校，不只對全校學生產生影響，全體教職員也將會對於獎勵制度有不同的省思。"
是誰得手林布蘭？,紀錄片,"★阿姆斯特丹國際紀錄片影展 觀摩電影
★荷蘭電影節 最佳紀錄片提名
★溫哥華國際影展 觀摩影片
★美國聖多娜國際影展 觀摩電影
★耶路撒冷電影節 觀摩電影
★德國科隆影展 觀摩電影
 
史上最昂貴畫作交易搬上大銀幕
《是誰得手林布蘭？》引領觀眾進入林布蘭畫作的藝術世界，並提供政商名流出於對林布蘭的熱愛，所引發戲劇性且有著驚人發展的故事。即使各大藝術收藏家，如：荷蘭的奧特羅夫婦（Eijk and Rose-Marie De Mol van Otterloo）、美國的托馬斯卡普蘭（Thomas Kaplan），以及蘇格蘭的巴克盧公爵（Duke of Buccleuch），都展現了他們跟林布蘭的特殊關係。但在法國男爵艾瑞克羅斯柴爾德（Eric de Rothschild）一出手，決定將兩幅林布蘭畫作付諸拍賣後，竟意外引發一場藝術界風暴，甚至造成法國羅浮宮與荷蘭阿姆斯特丹國家博物館互不相讓，一場搶畫大戰幾乎演變成外交危機。
本片劇情更出人意外、展現出另條故事支線：荷蘭天才交易商楊席克斯（Jan Six），敏銳發現兩幅全新林布蘭真跡，即將付諸市場拍賣。這個令他振奮的消息，看似將實現他成為林布蘭權威畫商的最大夢想，卻因遭違反與另一名交易商的約定，商場信譽一落千丈外，更讓他深陷信用危機…。
 
電影《是誰得手林布蘭？》以一個全新且迷人的視角，剖析為何林布蘭如此受到收藏家仰慕？為何他的畫作能感動這麼多的人，甚至傾國傾城？荷蘭導演歐克荷根蒂克（OekeHoogendijk）繼獲獎電影《風華再現 阿姆斯特丹國家博物館》（The New Rijksmuseum）後，再次選擇了一個關於藝術、以及藝術收藏者的迷人主題故事。全片生動描繪了人們在藝術痴迷下的愛欲、貪婪與追逐，令人眼界大開。
 
【電影簡介】
 
林布蘭（Rembrandt HarMenszoon van Rijn，1606 ~1669），撼動藝術界的光影大師，即便是在過世了350年後的今天，許多政商巨賈、甚至許多國家，依然為他的繪畫著迷。不僅貴族亟欲珍藏他，專家也想研究他，收藏家更愛搜羅他，商人則藉他搶拾商機，他甚至引發了各國博物館間的較勁與爭奪。
妙趣紀實電影《是誰得手林布蘭？》（My Rembrandt）就深入了難得一窺其貌的林布蘭古典油畫世界，並揭露藝術界各路菁英人馬，瘋狂追逐林布蘭的背後動機，更一揭法國羅浮宮與荷蘭阿姆斯特丹國家博物館（Rijksmuseum）驚天動地的一場搶畫始末。該片不僅獲選阿姆斯特丹國際紀錄片影展觀摩電影，更榮獲荷蘭電影節最佳紀錄片提名。"
史賓賽,劇情,"★ 2021 威尼斯影展正式競賽片
★ 《不思議女人》《顛父人生》金獎團隊揭露英國王室秘辛
★ 帕布羅拉瑞恩繼《第一夫人的秘密》後再度剖析知名女性
★ 克莉絲汀史都華飾演黛安娜王妃，鎖定年底各大影后寶座！
 
黛安娜王妃（克莉絲汀史都華 飾）和查爾斯王子（傑克法爾辛 飾）的婚姻關係已經陷入冰點，關於離婚和外遇的傳言甚囂塵上，然而，英國王室在桑德令罕府例行的聖誕慶祝活動，必須維持一貫和諧的景象，在歌舞昇平的歡樂氣氛中，黛安娜做出了她人生最重大的決定……"
地球迷航,紀錄片,"★首部與星兒共創的成人自閉症紀錄片
★金馬奇幻影展首映獲高評價 觀眾淚灑影院
★知名導演林正盛繼《一閃一閃亮晶晶》再創溫暖力作
★耗時四年、斥資近千萬拍攝
★金鐘主持人黃子佼感動推薦「地球迷航給了我深深的共鳴」
★金馬影帝莫子儀「誠心邀請大家一起鼓勵、支持星兒們」
★亞斯教母卓惠珠力推「這部片絕對值得我再看第二次第三次」
 
「我 想 去 外 太 空 的 某 處 吧」
你好，我來自一個很遠很遠的地方，你知道嗎！在我的故鄉畫畫是不用畫筆的喔～
但現在，我好像迷路到地球了......我可以和你做朋友嗎？
你願意，認識我嗎？
 
電影《地球迷航》紀錄了四個內心世界跳脫地球的孩子的家庭和成長，患有口語表達障礙的廷瑋透過媽媽打字翻譯表達：「老師說我一輩子都學不會，我很痛苦、我很生氣，卻又無法出言反駁。」常有幻聽、幻覺的大學生沛軒，無法適應學校生活的惠綸，感情充沛卻不擅表達的樹緯，他們在地球上迷了航，卻在多寶藝術學堂韓淑華老師的引領下，用動人的詩句和音樂，以及多彩畫筆，突破冷漠疏離，揮灑出內心熱烈的小宇宙。"
寄身殺手,"科幻
恐怖
懸疑/驚悚","★ 2021 土星獎最佳獨立電影提名
★ 2020 日舞影展「全球劇情片類」競賽片
★ 2020 英國倫敦電影節 正式入選
★ 2020 西班牙錫切斯奇幻影展 最佳電影、最佳導演
★ 布蘭登柯能堡驚世駭俗橫掃全球奇幻影展之作
★ 《雙面危敵》《愛人怪物》製作團隊打造獵奇懸疑大作
★「近十年來首見的科幻佳作」──Film Threat
 
佛斯（安德莉亞瑞絲柏 飾）是一名公司特務，她使用腦植入技術侵入人體，並操控他們執行暗殺任務，以替公司獲取利益。佛斯對這工作雖然有著特別的天份，執行工作的經歷卻給她帶來巨大變化，她必須努力壓抑那些暴力經驗和衝動，避免自己的生活被影響。隨著精神壓力的加劇，佛斯逐漸失控，不久她發現自己困在一個男人的腦袋裡，同時這個男人開始威脅她對自我身份的認知⋯⋯。"
線：愛在相逢時,愛情,"★ 日本票房冠軍，票房突破22億，觀眾滿意度97.3％！
★ 以知名創作歌手中島美雪經典歌曲〈線〉為概念，所打造的賺人熱淚之作
★ 新生代影帝 菅田將暉 X 厭世女神 小松菜奈 三度合作大談揪心之戀
★《跨越8年的新娘》瀨瀨敬久導演細膩執導令觀眾淚水潰堤
★ 一對生於平成元年的男女，這18年來所發生的故事…
 
在北海道出生的高橋漣（菅田將暉 飾）與園田葵（小松菜奈 飾），兩人生於平成元年（1989年）。13歲時兩人邂逅彼此，談了人生第一場戀愛，但葵後來卻被母親帶走離開北海道。8年後，21歲的漣因為朋友的結婚典禮而來到東京，結果再度見到了葵。然而，漣在北海道已是一名乳酪職人，但葵則不斷在東京、沖繩擴展自己的世界，兩人開始邁向不同的人生。10年後，時間來到平成最後一年（2019年），兩人因命運之線而再度遇見對方……"
永恆族,"動作
科幻","《永恆族》是超越繁星的神族，七千年前來到地球，誓言保護人類，各色各異的他們，擁有超凡智慧與能力，長生不老，每人具備迥然不同的絕頂神力。然而守護地球期間，各自強大的永恆族人並非和樂融融，內部紛爭不斷，最終整個族群分崩離析，直到一群古老的宿敵現身……
 
全球引頸期盼，經歷《復仇者聯盟：終局之戰》後，漫威電影宇宙會怎麼發展？當世界瀕臨灰飛煙滅之際，永恆族為何缺席抵禦薩諾斯… 
 
以《游牧人生》奪得奧斯卡最佳導演獎的趙婷，擔任本片的編劇及導演，將會為漫威宇宙樹立前所未見的超級英雄模樣。"
