movie_name,movie_type,movie_content
殺無赦,劇情,《殺無赦》由克林伊斯威特執導，克林伊斯威特、金哈克曼、摩根費里曼及李察哈里斯主演。威廉（克林伊斯威特　飾演）過去曾是無惡不作的強盜殺人犯，結婚生子後便金盆洗手，但為了讓家人過富裕的生活，告別殺手生涯11年的他決定重操舊業，參與殺人行動。
魔法滿屋,"動畫
奇幻",《魔法滿屋》故事背景發生在哥倫比亞的群山中，有一個充滿活力的小鎮，那裡有一處神奇的魔法之地，同時也是馬瑞格家族的居住地，家族的每個人都被賜與一種魔力天賦，唯獨米拉貝兒除外…看似尋常的某天，米拉貝兒意外發現家族身處危險之中，雖然身為唯一沒有魔法的家族成員，她仍決定力挽狂瀾，放手一搏拯救家園，成為這個神奇家族的唯一希望…
月老,"愛情
奇幻","九把刀第三度執導影迷最期待之作品  打造陰陽兩界奇幻大作
柯震東、宋芸樺、王淨首度聯手 《月老》即將席捲全台影迷
 
由九把刀暢銷小說《月老》改編的愛情奇幻電影，是繼《那些年，我們一起追的女孩》、《報告老師！怪怪怪怪物！》之後，九把刀第三度執導筒的長片。《月老》榮獲第58屆金馬獎最佳劇情片、最佳男配角、最佳改編劇本、最佳攝影、最佳視覺效果、最佳美術設計、最佳造型設計、最佳動作設計、最佳原創電影音樂、最佳原創電影歌曲、最佳音效等11項大獎提名。《月老》不僅是九把刀的愛情奇幻作品中最受歡迎、也最被期待改編成電影的原著。在這次《月老》的改編中，九把刀增加了更多的奇幻元素與特效場面，加上三位男女主角柯震東、宋芸樺與王淨以及入圍最佳男配角獎的馬志翔首度合作，絕對今年最受矚目的國片鉅作。
 
柯震東在《那些年，我們一起追的女孩》獲得金馬獎最佳新人獎後，於2016年主演的《再見瓦城》入圍金馬獎最佳男主角獎，這次柯震東在《月老》裡演出一個被雷擊後來到陰間擔任月老練習生的角色，可說是電影中的魅力擔當。女主角宋芸樺從《等一個人咖啡》成功詮釋了「李思瑩」之後，又參與了台灣票房高達4億的愛情電影《我的少女時代》，成為台灣票房人氣紅星。在《月老》中宋芸樺因為思念被雷擊突然離開的男友而有相當吃重的感情戲。《月老》另一亮點的王淨，在《返校》中演出戒嚴時期的女學生方芮欣打開知名度，並獲得台北電影獎最佳女主角獎，這次在《月老》中飾演的角色是一個不按牌理出牌的粉紅女Pinky，俏皮的演出勢必讓影迷再度被圈粉。
 
《月老》交錯兩大主軸–愛情殊途搭配前世輪迴 催逼觀眾狂笑大哭
馬志翔猶如台版佛地魔氣勢驚人 以流浪漢造型首次擔綱壞人角色
 
由於《月老》這部電影圍繞了兩大主軸：一個是當愛情遇上另一半走上殊途，在阿綸與小咪兩人陰陽兩隔的情況下，種種情感衝擊也讓這部電影有相當濃厚的情緒轉折，但是偏偏不按牌理出牌的九把刀卻不只埋著悲傷的梗，片中還有許多充滿爆笑的中二台詞，就是要催逼觀眾又哭又笑！
 
另一個主軸則是《月老》中馬志翔飾演的鬼頭成，這是在原著中未曾出現的角色，但是他為電影帶來輪迴業障的奇幻情節，簡直可以稱為「台版佛地魔」。他在電影中神出鬼沒，所到之處暗黑勢力的陰風來襲，絕對令觀眾不寒而慄！由於第一次演出壞人的大魔頭角色，而且還滿臉鬍渣、滿身污泥，但是馬志翔卻說演出這個角色覺得非常過癮！
 
最強配角助陣  首見「月老團」陳妤、侯彥西與張再興等人
feat. 軍裝造型的牛頭馬面 洪都拉斯與陸明君
 
在電影中月老絕對是不能忽略的重要元素，但是這次電影中的月老造型有別以往，並沒有出現頭髮銀白、手持拐杖的月老公公，反而在大批年輕的「月老團」擔綱此重大要角，這次導演找來《可不可以，你也剛好喜歡我》的女主角陳妤和在《那些年》中飾演「勃起」的侯彥西、以及《角頭—流浪連》的張再興，他們穿上月老制服還在街頭大跳月老紅線舞，在電影中把年輕的月老團表現得淋漓盡致！
 
由於在電影裡面的鬼頭成在人間肆虐又殺人，也驚動陰間的牛頭馬面，這次導演特別挑選了陸明君來擔任牛頭這個角色，陸明君說：「導演的腦袋真的不知道裝了很多奇怪的東西，我在沒有劇本的狀況下，和他聊了角色之後，他希望能夠由高挑威猛的女性來扮演這個角色，我就決定接受這個挑戰！」而洪都拉斯也提到自己雖然沒看到劇本，衝著九把刀充滿創意的導演風格就答應要來參加演出。導演也跟洪都拉斯說自己在設定馬面的角色時，完全依照他的形象來寫台詞的，也因此讓馬面這個陰間角色充滿幽默逗趣感。
 
充滿想像打造陰間亡靈船 美術組用玄武岩層次感成為船艙結構 
台灣原生特效團隊全程加持  全片用了850顆特效鏡頭 
 
在九把刀的心目中，以前的陰間與陽間的連通管道是一口井，但是他覺得現在的陰間應該與時俱進，於是《月老》裡的陰陽界是搭著電梯往返的，這個新奇的設定讓大家都覺得很有趣，不過也苦了美術組及特效組。另外，電影裡面用到大量陰間的場景，九把刀將陰間想像成一艘船，要將鬼魂引渡到彼岸，但那個彼岸卻是永遠到不了的地方，曾經以《返校》獲得金馬獎最佳美術設計獎的王誌成（頭哥）也是這部電影美術設計，他覺得在一般製成的木頭船達不到導演要的壯闊感，於是他建議利用玄武岩的石柱來建造這艘船，原本九把刀就把這艘陰間船想像成島礁，因此玄武岩的層次概念就非常順理成章地達到九把刀的設定。
 
《月老》的另外一大重頭戲就是視覺特效的加持，尤其是這次《月老》全片特效都是由台灣的特效團隊製作完成，讓九把刀感到非常驕傲。對於視效總監嚴振欽將近14個月不眠不休的工作期，九把刀也相當感佩，尤其是最後一場鬼頭成的大戰，因為他的憤怒造成身上的飛砂走石，大部分的鏡頭都是用特效做出來的，質感真的相當逼真！還有對於導演來說只是一條簡單的紅線，但是嚴振欽要做出有彈性的質感，和拋物線的流暢度，都令九把刀瞠目結舌，他由衷地說：「當觀眾在看特效鏡頭時，他們不是在讚嘆特效多厲害，反而是專注黏著在劇情本身！」這就是《月老》特效已經達到的境界了！"
青春弒戀,"愛情
劇情
犯罪","★《青春弒戀》入選多倫多國際影展「當代世界電影」單元，影展消息一公佈即獲外媒和影評關注，包含Srceen Daily 主編Jeremy Kay、Slash film、歐洲OTT平台MUBI線上刊物。
★國際導演何蔚庭繼《台北星期天》、《幸福城市》後又一最新力作。
★集結黃金陣容演員：《怪胎》林柏宏、《誰是被害者》李沐、《比悲傷更悲傷的故事》陳庭妮、《狂徒》《女鬼橋》林哲熹、《幸福城市》《孤味》丁寧、《比悲傷更悲傷的故事》姚愛寗。
 
電影《青春弒戀》主要描敘六位看似毫無關聯，卻相互影響著彼此，最後捲入青少年隨機砍人案件的故事，將透過愛情、慾望、犯罪包裝6個角色背後賦予的任務與概念，探討Z世代的生活環境，環繞著虛擬、線上遊戲、網紅、社會輿論、家庭問題等等⋯⋯承載著這些來自虛擬卻又真實的視線，一場人人畏懼的殺人案件中，我們可以看見「沒有人是局外人」。"
金錢男孩MONEYBOYS,"愛情
劇情","★2021坎城影展 一種注目競賽單元入圍
★奧地利華裔導演C. B. YI師從名導麥可漢內克，籌備八年細膩男男戀首部迷情慾作
★柯震東繼《再見瓦城》後再次獲得國際影壇青睞，對角色的細膩演繹，成為強勢回歸影壇的代表作，坎城首映時更被譽為華語影人都該記住他的名字
★台灣、奧地利、法國、比利時聯合製作，但全片於台灣拍攝，更集結柯震東、林哲熹、曾美慧孜、白宇帆、盧彥澤、黃鐙輝、陳慕等實力卡司群演出
★英國權威電影雜誌《Screen Daily》稱讚導演成功刻畫男同志性工作者放不下過去感情與家庭牽絆的難分難捨，電影美術及攝影都精緻迷人，完美呈現現代都會感與農村家鄉的強烈對比
 
在夜色天堂裡遇見你，是我販賣情愛的救贖…
 
為改善鄉下家人的生活，梁飛來到城市成為性工作者，並與同業曉來成為戀人。
在一次工作中，梁飛被客人傷害，曉來為了替飛報仇，一場意外從此讓二人便斷了聯繫。五年後，飛在另個城市重新站穩腳步，同事們卻紛紛因社會壓力離開這個圈子。飛回到老家探望重病的外公，發現家人花著他寄回來的錢，內心卻隱隱以他賣娼為恥，唯有青梅竹馬的阿龍，給飛安慰。回到城市後不久，龍投奔飛而來，並選擇同樣成為男妓。兩人很快墜入愛河，飛卻在這時與已經結婚生子的曉來不期而遇，周旋在曉來和龍之間的梁飛，究竟該如何自處？他還能找回當時的那份初衷嗎？
 
《金錢男孩MONEYBOYS》是新銳導演導演C. B. YI籌備八年的首部長片作品，身為奧地利華裔的他，師從名導麥可漢內克，拍出細膩男男戀迷情慾作，一舉入選2021坎城影展一種注目競賽單元，獲得廣大迴響，首映後包含《Screen Daily》在內對此片在刻畫男同志性工作者放不下過去感情與家庭牽絆的難分難捨，以及美術及攝影上都給予高度評價。國際影壇更認為此片是柯震東繼《再見瓦城》後強勢回歸影壇地位的代表作，對角色的內斂細膩演繹，讓人印象深刻。此片由台灣、奧地利、法國、比利時聯合製作，但全片均於台灣拍攝，將台灣景致拍得迷幻又寫實。卡司部份除了柯震東，更集結林哲熹、曾美慧孜、白宇帆、盧彥澤、黃鐙輝、陳慕等實力卡司群精湛演出，是今年下半年度最令人期待、有機會一舉進軍金馬獎多項入圍的強檔國片之一。"
超慄方殺陣,"科幻
懸疑/驚悚","★ 改編自影史密室經典《異次元殺陣》，21世紀全新版殺更大！
★ 內心深處最原始的恐懼，懸疑驚悚更勝《密弒遊戲》、《奪魂鋸》
★ 全方位創作才子星野源獻唱同名主題曲「Cube」
★ 為求生存不擇手段宛如《魷魚遊戲》，終極人性試煉就此展開！
 
彼此毫無關聯的六位男女，某天突然在立方體房間中醒來，不知為何被監禁於此的他們試著逃離，卻不斷遭受熱感式雷射、線鋸推進器、火焰噴射等各式殺人陷阱的襲擊，不解開設計好的密碼，便絕對無法逃脫！在極度緊張和恐懼不安中，他們逐漸耗盡體力，瀕臨精神崩潰邊緣，平時潛藏的人性黑暗面也逐一浮現……"
浪浪伊斯坦堡,紀錄片,"★ 2021 電影獨立精神獎 比虛構更真實獎提名
★ 2021 電影之眼榮譽獎 最佳首部電影、最佳攝影提名
★ 2020 加拿大Hot Docs國際紀錄片影展 最佳影片
★ 2020 影評人選擇獎 最佳國際紀錄片提名
★ 2020 阿姆斯特丹國際紀錄片影展 正式入選
★ 2020 斯德哥爾摩影展 最佳紀錄片提名
★ 2020 紐約紀錄片影展 正式入選
★ 2020 翠貝卡影展 榮耀入選
 
「狗持續看守著人類，不是為了保障
他們不失去財產，而是確保他們的尊嚴不被搶走。」
—— 特米斯丟斯，西元前352年
 
在伊斯坦堡的街頭，有一群浪浪的冒險旅程正悄悄地展開。雷霆、哪吒、卡托三隻生活在伊斯坦堡的浪浪，為了尋覓食物和棲息的處所，日夜穿梭在古老城市的巷弄之間，並與人類率真而平和地共同生活著：雷霆，個性獨立成熟，常常在夜晚隻身行動；哪吒，溫暖好親近，總是能與身邊的人成為朋友；而生活在郊區工地的幼犬卡托天真害羞，所幸有保全大叔看顧著。同時，更有一群與浪浪們共享街道的敘利亞青年，時常陪伴浪浪玩耍度日、依偎取暖，彼此逐漸建立起親密的連結外，乍看截然不同的生命個體，卻又緊密交織呼應。
 
漫遊在城市裡的浪浪們，穿過繁華的鬧區、躲藏破舊的廢墟，透過牠們的目光為這個社會所遺忘的角落提供了一扇窗：無愛婚姻中的女性、手無寸鐵的示威者、失去庇護的難民等。《浪浪伊斯坦堡》是對人類文明的批判性觀察，藉由三隻流浪狗不帶偏頗的視角引領及感官探索，除了貼近紀錄浪浪的生存方式和日常外，亦是尋找新的脈絡來觀看這個世界。或許人生自有它的出口，你只要這樣沿著路走。"
少女與戰車最終章 第3話,"動畫
戰爭","冬季無限軌道盃第2回合比賽──
知波單學園為了獲勝，而展現出驅使各種「突擊」的戰法，導致大洗女子學園陷入苦戰！在叢林以及夜戰這樣的環境之中，被逼入絕境的美穗和隊友們，到底有沒有逆轉的方法？
其他學校的比賽也值得矚目！
桑德斯大學附屬高中v.s.繼續高中、黑森峰女子學園v.s.真理高中、聖葛羅莉安娜女子學院v.s.安齊奧高中；沒想到勝利的一方竟然讓這些比賽的結果無法預測？！
每一場比賽都非常精采！獲得勝利的一方到底是誰？"
鬼村：殺人魔之女,懸疑/驚悚,"★ 繼《哭聲》後，又一離奇鄉野凶殺詭案
★ 是謀殺？是靈異？以真實虐童案件為故事藍本，結合懸疑、神祕的奇異驚悚之作
★ 《哲仁王后》「待令熟手」金吝勸化身熱血刑警揭開謎案真相！
★ 寧靜村莊暗藏慘遭詛咒之地，13歲少女竟成連續殺人案嫌犯？！
 
某天，寧靜的村莊出現了連續殺人犯，人們開始口耳相傳人心惶惶的謠言，據說嫌犯是一名13歲的少女順兒（李彩恩 飾）。刑警東浦（金吝勸 飾）、昌秀（鄭糠雲 飾）在追查案件的過程中，發現案件另有隱情，究竟那孩子是真正的凶手嗎？在順兒獨自生活的家中，到底曾發生過什麼樣驚悚的事呢？"
撕裂異弒界,"犯罪
懸疑/驚悚","★2021日舞影展午夜單元好評熱推
★一刀未剪超限制級版本 今年必看恐怖電影
★西班牙錫切斯奇幻影展 正式競賽片 
★「絕對是今年最生猛、無與倫比且原創性十足的恐怖虐殺類型電影」-倫敦晚報
 
1985年，身為電影審查員的伊妮，每天都必須加班觀看、過濾海量的錄影帶，確保沒有過激的內容電影流入民間，因而戕害大眾身心健康。某天，她竟然在經手的虐殺電影中，疑似出現她失蹤已久的姊姊，她決心深入調查一切，解開這捲影片與其導演不為人知的背後秘密。沒想到調查過程，虛構與真實間的界線越來越模糊，無論是巧合還是陷阱，她決定親身前往片廠調查真相，因此陷入無法脫身的幻境之中。。。"
